HH,hour,plug,value
7,6,6,31147.690000000053
7,6,7,55499.3330000003
8,6,0,16324.533999999972
8,6,2,15.663
8,6,4,10781.357000000044
8,6,5,42.63200000000001
8,6,9,74549.37200000008
9,6,1,13699.322999999984
9,6,2,22.541999999999994
9,6,7,17872.252000000106
9,6,8,41416.27700000018
10,6,1,32778.481000000036
10,6,2,13591.98700000005
11,6,2,34765.98500000008
12,6,0,11220.222999999947
13,6,0,19409.391999999953
13,6,1,18134.445999999956
13,6,3,41727.01099999989
13,6,4,21.147999999999996
13,6,5,35720.48500000014
13,6,7,6875.31699999993
13,6,11,28276.700999999917
0,7,2,18096.188999999842
0,7,3,14.731999999999998
0,7,5,4893.056999999952
0,7,6,3802.8700000000044
0,7,7,38074.60400000011
0,7,11,34761.0310000001
1,7,0,39029.72700000035
1,7,1,4837.204999999998
1,7,2,67758.61300000027
1,7,3,18473.90099999993
1,7,4,34591.91200000004
1,7,5,23017.93099999973
1,7,6,2202.2579999999994
2,7,1,3829.748999999997
2,7,2,28391.767999999887
2,7,5,8159.943999999972
2,7,6,3437.103000000002
3,7,0,72372.37100000009
3,7,1,21205.180999999913
3,7,3,27680.63500000028
6,7,0,32537.461000000134
6,7,1,46.357000000000006
6,7,2,21380.961999999858
6,7,4,132266.33500000057
6,7,5,11304.157000000008
6,7,8,18.057000000000002
6,7,10,5911.472999999993
6,7,11,57627.94000000021
6,7,12,1712.8619999999992
7,7,0,37821.410999999986
7,7,6,31192.71400000003
7,7,7,56396.983000000335
7,7,8,3297.832999999996
8,7,0,16547.111
8,7,2,17.468999999999998
8,7,4,10913.368000000093
8,7,5,46.437000000000005
8,7,9,74599.18899999995
9,7,1,13866.953999999987
9,7,2,25.046999999999993
9,7,7,17998.947000000117
9,7,8,41607.22200000015
9,7,9,5919.640000000003
9,7,10,5921.356999999999
10,7,0,2369.9500000000007
10,7,1,32966.89100000011
10,7,2,13748.446000000027
11,7,2,34602.88500000011
12,7,0,11359.929999999918
12,7,1,8287.144000000006
13,7,0,19485.822999999975
13,7,1,18251.69099999997
13,7,3,41887.39699999992
13,7,4,23.488
13,7,5,36317.56800000016
13,7,7,6975.463999999947
13,7,9,1945.548000000003
13,7,11,28721.22799999985
0,8,2,18061.10299999983
0,8,3,13.597999999999999
0,8,5,4870.12299999996
0,8,6,3780.9180000000024
0,8,7,37769.69199999998
0,8,11,34780.74300000002
1,8,0,38917.19800000031
1,8,2,67538.13999999998
1,8,3,18612.47599999991
1,8,4,34504.70900000005
1,8,5,22847.388999999785
2,8,2,28597.026999999885
2,8,5,8082.168999999969
3,8,0,72167.47899999993
3,8,1,21299.125999999917
3,8,3,27555.017000000273
6,8,0,32655.258000000187
6,8,1,43.012
6,8,2,21321.473999999864
6,8,4,132055.20200000075
6,8,5,11247.307999999997
6,8,8,16.36
6,8,10,5858.742999999987
6,8,11,57458.63400000028
7,8,0,38046.21600000005
7,8,6,30997.136000000042
7,8,7,56206.13200000041
8,8,0,16560.240999999987
8,8,2,15.735
8,8,4,10843.320000000078
8,8,5,42.74400000000001
8,8,9,74475.68399999976
9,8,1,13741.950999999983
9,8,2,22.891999999999996
9,8,7,18107.139000000105
9,8,8,41861.34400000003
10,8,1,33105.9770000001
10,8,2,13647.978000000068
11,8,2,34702.95100000008
12,8,0,11276.81699999994
13,8,0,19633.594000000023
13,8,1,18291.031999999996
13,8,3,42157.2559999998
13,8,4,21.829000000000004
13,8,5,36214.231000000174
13,8,7,6906.405999999942
13,8,11,28646.451999999917
0,9,2,69209.68899999978
0,9,3,14.032999999999998
0,9,5,46455.22399999996
0,9,6,36082.07199999999
0,9,7,37585.75400000005
0,9,11,34334.604000000065
1,9,0,148983.38300000012
1,9,2,66998.53700000026
1,9,3,18725.106999999898
1,9,4,132181.77599999934
1,9,5,219030.14599999978
2,9,2,28696.097999999845
2,9,5,77565.42699999995
3,9,0,71412.94999999988
3,9,1,21463.80399999988
3,9,3,105691.99700000005
6,9,0,32904.29500000015
6,9,1,44.513999999999996
6,9,2,81486.8459999999
6,9,4,130672.28000000055
6,9,5,43098.50899999999
6,9,8,16.791
6,9,10,56233.402000000024
6,9,11,219994.41900000002
7,9,0,38293.997999999985
7,9,6,30891.486999999994
7,9,7,215362.37199999986
8,9,0,63443.64900000021
8,9,2,16.654999999999998
8,9,4,103645.00400000002
8,9,5,44.65099999999999
8,9,9,73482.74800000014
9,9,1,131944.933
9,9,2,24.147000000000006
9,9,7,18216.64800000011
9,9,8,42134.9610000001
10,9,1,33376.397000000165
10,9,2,130870.87400000007
11,9,2,34145.88900000014
12,9,0,108247.52799999998
13,9,0,19758.29300000003
13,9,1,18458.824
13,9,3,42430.01699999987
13,9,4,22.441999999999997
13,9,5,138638.92600000039
13,9,7,66228.55199999997
13,9,11,109695.76300000082
0,10,2,68488.73299999979
0,10,3,13.105999999999996
0,10,5,255685.6310000001
0,10,6,198597.1569999993
0,10,7,37223.23300000011
0,10,11,34076.77000000006
1,10,0,147647.8320000003
1,10,2,66415.45600000028
1,10,3,18261.67599999988
1,10,4,130803.55200000071
1,10,5,1201421.7200000004
2,10,2,28003.627999999884
2,10,5,425422.1020000016
3,10,0,70810.30900000001
3,10,1,20961.394999999913
3,10,3,104553.49100000024
6,10,0,32094.61500000017
6,10,1,40.60500000000001
6,10,2,80666.32299999986
6,10,4,129771.48500000048
6,10,5,42842.63
6,10,8,15.433
6,10,10,308912.74399999966
6,10,11,218004.55199999994
7,10,0,37401.980000000156
7,10,6,30484.005000000074
7,10,7,213284.86200000058
8,10,0,62727.92199999998
8,10,2,14.641
8,10,4,570384.4269999996
8,10,5,41.411
8,10,9,73115.67099999983
9,10,1,723309.0580000003
9,10,2,21.804000000000002
9,10,7,17773.05600000008
9,10,8,41049.96200000009
10,10,1,32500.03600000011
10,10,2,718451.8150000018
11,10,2,33876.941000000086
12,10,0,592027.8720000006
13,10,0,19287.670000000002
13,10,1,17964.456999999962
13,10,3,41341.17999999985
13,10,4,20.638
13,10,5,137446.52899999978
13,10,7,363634.42200000153
13,10,11,108532.92500000015
0,11,2,68684.72099999987
0,11,3,7.890999999999999
0,11,5,229467.6730000006
0,11,6,178678.28200000033
0,11,7,38008.79000000007
0,11,11,34834.684000000045
1,11,0,148006.9730000003
1,11,2,67733.3410000003
1,11,3,18797.710999999872
1,11,4,131050.7240000006
1,11,5,1080217.652000001
2,11,2,28737.183999999885
2,11,5,382224.94299999933
3,11,0,72349.042
3,11,1,21512.587999999912
3,11,3,104978.09799999995
6,11,0,32953.89300000014
6,11,1,25.032
6,11,2,80988.276
6,11,4,132335.91800000067
6,11,5,42931.50600000008
6,11,8,9.779
6,11,10,276469.3729999996
6,11,11,218507.07700000028
7,11,0,38349.14200000012
7,11,6,31205.96100000006
7,11,7,213692.0480000005
8,11,0,63047.664000000026
8,11,2,9.302
8,11,4,512014.26799999893
8,11,5,25.483
8,11,9,74557.68299999979
9,11,1,650754.3159999968
9,11,2,13.412999999999998
9,11,7,18219.576000000085
9,11,8,42206.36200000007
10,11,1,33402.56400000016
10,11,2,645734.3650000003
11,11,2,34628.93800000008
12,11,0,532851.477
13,11,0,19782.571000000033
13,11,1,18540.34999999998
13,11,3,42486.133999999816
13,11,4,12.868
13,11,5,137846.0349999995
13,11,7,327240.751
13,11,11,109110.66399999999
0,12,2,70895.60199999978
0,12,3,10.518999999999998
0,12,5,245341.68600000028
0,12,6,190536.86499999987
0,12,7,61231.69800000001
0,12,11,55736.42099999993
1,12,0,152306.44100000008
1,12,2,108837.72699999968
1,12,3,273476.63600000006
1,12,4,135042.05400000012
1,12,5,1154074.897000002
2,12,2,418660.641999998
2,12,5,408609.576000001
3,12,0,116313.44100000002
3,12,1,312860.74399999826
3,12,3,107984.48799999992
6,12,0,479775.79800000106
6,12,1,33.324000000000005
6,12,2,83305.19500000008
6,12,4,212392.38899999924
6,12,5,44120.32699999999
6,12,8,12.628000000000002
6,12,10,295511.8390000005
6,12,11,225206.94099999964
7,12,0,557989.5290000007
7,12,6,49934.274
7,12,7,220473.9220000003
8,12,0,64965.80300000011
8,12,2,12.427000000000001
8,12,4,547277.8609999978
8,12,5,32.912000000000006
8,12,9,119737.21899999985
9,12,1,694365.3940000001
9,12,2,17.593999999999998
9,12,7,265150.9119999993
9,12,8,613525.3430000002
10,12,1,486039.85699999926
10,12,2,688854.873
11,12,2,55705.21299999944
12,12,0,569667.5509999997
13,12,0,287468.3629999998
13,12,1,268951.4099999992
13,12,3,617538.1509999993
13,12,4,16.815
13,12,5,141844.57899999994
13,12,7,348856.84599999967
13,12,11,112261.5290000007
0,13,2,53837.17300000021
0,13,3,8.706999999999999
0,13,5,263563.8779999993
0,13,6,206128.0800000003
0,13,7,38016.912000000106
0,13,11,35023.787000000026
1,13,0,116167.11599999966
1,13,2,67898.04000000021
1,13,3,296697.1960000001
1,13,4,102796.84200000012
1,13,5,1243714.5559999999
1,13,10,95607.73999999993
1,13,12,83059.81300000013
2,13,2,454086.36299999966
2,13,5,440585.8440000011
3,13,0,72502.18399999998
3,13,1,339520.0939999972
3,13,3,82229.48300000059
4,13,0,146419.88800000068
4,13,2,177180.92999999886
5,13,2,42901.46300000011
6,13,0,520143.3550000027
6,13,1,27.154
6,13,2,63437.29699999973
6,13,4,132582.04700000066
6,13,5,33609.24100000003
6,13,8,10.352000000000002
6,13,9,59514.448999999855
6,13,10,319091.1940000011
6,13,11,171177.7379999995
7,13,0,604793.1079999998
7,13,6,31153.126
7,13,7,167673.46600000083
8,13,0,49362.234000000026
8,13,2,10.076
8,13,3,35395.75999999992
8,13,4,589758.1529999998
8,13,5,27.429999999999993
8,13,9,74737.94400000008
9,13,1,748191.0520000015
9,13,2,14.511
9,13,4,46661.99899999997
9,13,7,287936.92699999944
9,13,8,666417.7130000006
10,13,1,527045.1169999979
10,13,2,743886.508999999
11,13,0,95042.76900000009
11,13,2,34740.03800000004
12,13,0,613199.1829999998
12,13,4,135938.80100000024
13,13,0,312439.82199999975
13,13,1,292374.2599999993
13,13,3,671146.3620000001
13,13,4,13.754
13,13,5,107957.99800000036
13,13,7,376521.5249999994
13,13,11,85338.79800000029
0,14,2,17973.888999999825
0,14,3,11.510999999999997
0,14,5,256103.12700000053
0,14,6,199982.18199999988
0,14,7,38426.612000000096
0,14,9,1146.4209999999996
0,14,11,35241.99500000003
1,14,0,38738.23900000029
1,14,2,68687.67800000015
1,14,3,243587.88399999915
1,14,4,34317.88699999998
1,14,5,1206237.4450000024
1,14,10,72705.52899999973
1,14,12,63228.1460000001
2,14,2,373851.5360000002
2,14,4,1337.6420000000005
2,14,5,427311.8540000001
3,14,0,73305.59100000016
3,14,1,278136.1649999981
3,14,3,27489.186000000267
4,14,0,111340.16200000039
4,14,2,134909.75599999938
5,14,0,583.9259999999997
5,14,1,954.5259999999994
5,14,2,32599.151000000104
6,14,0,427585.32299999933
6,14,1,36.691
6,14,2,21161.700999999866
6,14,4,133967.37300000078
6,14,5,11204.276000000027
6,14,8,14.085
6,14,9,45214.48800000016
6,14,10,310274.256
6,14,11,57147.02600000028
7,14,0,498694.72100000037
7,14,1,447.64299999999986
7,14,2,735.0549999999996
7,14,4,549.4799999999999
7,14,6,31619.049000000025
7,14,7,55945.332000000286
8,14,0,16498.178999999967
8,14,2,13.295
8,14,3,26890.237000000037
8,14,4,572191.8339999986
8,14,5,37.001
8,14,9,75654.62499999991
9,14,1,726752.8390000007
9,14,2,19.650999999999996
9,14,4,35503.04599999983
9,14,7,236669.16700000054
9,14,8,547507.6600000004
10,14,1,434353.02399999887
10,14,2,720954.9659999987
11,14,0,72280.14000000014
11,14,2,35173.97100000008
12,14,0,594990.0379999987
12,14,4,103497.25400000034
13,14,0,256458.97199999963
13,14,1,240065.49699999896
13,14,2,1312.8289999999993
13,14,3,551801.1350000064
13,14,4,18.728999999999996
13,14,5,36028.089000000095
13,14,7,364790.8289999989
13,14,11,28490.086999999847
0,15,2,43115.73300000005
0,15,3,6.7
0,15,5,252355.36300000013
0,15,6,195659.32299999957
0,15,7,37750.41100000005
0,15,9,8756.48799999999
0,15,11,34515.234000000055
1,15,0,93247.11200000014
1,15,2,67439.46700000027
1,15,3,48130.22100000025
1,15,4,82502.25099999996
1,15,5,1186120.1439999999
1,15,10,16697.74900000004
1,15,12,14496.183999999983
2,15,2,73702.04299999996
2,15,4,10249.503999999943
2,15,5,419719.8200000007
3,15,0,71939.31600000015
3,15,1,54998.86699999973
3,15,3,66066.58500000022
4,15,0,25566.862000000026
4,15,2,30921.303999999982
5,15,0,4464.456000000027
5,15,1,7264.176000000003
5,15,2,7492.795999999977
6,15,0,84380.88499999978
6,15,1,21.349
6,15,2,51033.093000000044
6,15,4,131695.69900000078
6,15,5,26883.38799999995
6,15,8,8.235000000000001
6,15,9,10409.413999999968
6,15,10,304445.75199999986
6,15,11,137428.8040000003
7,15,0,98376.61800000053
7,15,1,3417.071000000026
7,15,2,5572.552000000014
7,15,4,4209.898000000028
7,15,6,30996.412999999993
7,15,7,134687.04900000014
8,15,0,39698.31599999995
8,15,2,8.156
8,15,3,6181.9390000000085
8,15,4,562884.7019999984
8,15,5,21.395999999999997
8,15,9,74134.46599999981
9,15,1,713935.443999998
9,15,2,11.725999999999999
9,15,4,8114.082999999993
9,15,7,46835.85999999988
9,15,8,108157.64599999928
10,15,1,85644.25600000015
10,15,2,708947.4789999992
11,15,0,16625.508000000067
11,15,2,34678.31300000006
12,15,0,584702.9029999998
12,15,4,23775.305000000037
13,15,0,50679.389000000134
13,15,1,47300.3289999997
13,15,2,10049.435000000003
13,15,3,108921.4010000003
13,15,4,10.872
13,15,5,86853.46900000004
13,15,7,359669.39200000034
13,15,11,68486.72700000012
0,16,2,73588.69499999975
0,16,3,3.6730000000000005
0,16,5,236255.0549999989
0,16,6,183451.73100000073
0,16,7,37087.898000000074
0,16,9,8764.469999999976
0,16,11,33974.370000000046
1,16,0,158850.6490000004
1,16,2,66181.18400000017
1,16,3,113303.035
1,16,4,140504.54499999963
1,16,5,1112154.202000005
2,16,2,173547.3779999999
2,16,4,10240.867999999966
2,16,5,393825.5310000013
3,16,0,70548.34000000005
3,16,1,129641.39100000028
3,16,3,112605.50199999998
5,16,0,4461.302000000032
5,16,1,7259.54799999999
6,16,0,198693.4619999997
6,16,1,11.552999999999999
6,16,2,86778.70000000017
6,16,4,129212.7340000008
6,16,5,45938.038000000044
6,16,8,4.332
6,16,10,284776.5180000006
6,16,11,234582.95499999967
7,16,0,231860.79799999992
7,16,1,3428.4370000000295
7,16,2,5583.30800000001
7,16,4,4197.2610000000395
7,16,6,30433.731999999967
7,16,7,229358.34100000045
8,16,0,67496.8959999999
8,16,2,4.341
8,16,4,527156.7340000025
8,16,5,11.847000000000001
8,16,9,72730.72600000001
9,16,1,669863.2159999973
9,16,2,6.173
9,16,7,110094.39900000006
9,16,8,254804.92199999985
10,16,1,201605.51900000035
10,16,2,664742.1920000017
11,16,2,33867.15300000016
12,16,0,548640.315000002
13,16,0,119726.0789999997
13,16,1,111856.87299999993
13,16,2,10050.284999999996
13,16,3,257144.77499999956
13,16,4,6.184
13,16,5,147616.88699999987
13,16,7,336988.2480000024
13,16,11,116862.92900000089
0,17,2,69235.61299999982
0,17,3,5.514
0,17,5,245383.89899999995
0,17,6,190342.1999999995
0,17,7,37778.84500000004
0,17,9,1568.2649999999974
0,17,11,34657.30000000006
1,17,0,149186.07399999985
1,17,2,67391.64300000011
1,17,3,295217.9870000015
1,17,4,131994.93400000033
1,17,5,1154454.532000002
2,17,2,451817.84500000015
2,17,4,1829.6730000000014
2,17,5,409040.0
3,17,0,72081.03899999998
3,17,1,337369.7389999981
3,17,3,105637.96000000028
5,17,0,795.788999999999
5,17,1,1300.5060000000005
6,17,0,518837.5869999998
6,17,1,17.143
6,17,2,81469.8619999998
6,17,4,131819.86800000074
6,17,5,43071.45700000001
6,17,8,6.9670000000000005
6,17,10,296249.787999999
6,17,11,220013.42800000016
7,17,0,603912.901000002
7,17,1,613.3720000000005
7,17,2,995.6509999999988
7,17,4,746.3719999999998
7,17,6,31058.714000000036
7,17,7,215130.48399999976
8,17,0,63285.519000000044
8,17,2,6.525
8,17,4,547251.0939999974
8,17,5,17.573999999999998
8,17,9,74193.78000000007
9,17,1,694800.2520000013
9,17,2,9.279
9,17,7,286405.4870000006
9,17,8,663254.2360000004
10,17,1,525711.8889999999
10,17,2,689271.6839999991
11,17,2,34591.43000000004
12,17,0,569653.9509999986
13,17,0,310482.6300000023
13,17,1,290625.96900000016
13,17,2,1792.2629999999972
13,17,3,668832.4609999992
13,17,4,8.836
13,17,5,138565.47699999932
13,17,7,349043.44300000137
13,17,11,109694.28000000042
0,18,2,69312.0159999999
0,18,3,11.994
0,18,5,247288.60099999967
0,18,6,191655.51699999935
0,18,7,37706.697000000015
0,18,11,34620.16400000005
1,18,0,149103.30999999985
1,18,2,67208.92200000017
1,18,3,293363.00900000107
1,18,4,131996.98900000044
1,18,5,1162233.015999998
1,18,10,6498.800999999996
1,18,12,5666.676999999993
2,18,2,449949.6069999993
2,18,5,411519.2179999998
3,18,0,71817.18000000011
3,18,1,335584.83199999866
3,18,3,105868.33400000032
4,18,0,9982.59300000001
4,18,2,12086.263000000017
5,18,2,2924.8200000000083
6,18,0,514841.8879999993
6,18,1,37.217
6,18,2,81560.04100000004
6,18,4,131330.14700000067
6,18,5,43271.37100000009
6,18,8,14.040000000000001
6,18,9,4029.386
6,18,10,297992.86499999993
6,18,11,220435.58800000008
7,18,0,599455.1789999999
7,18,6,30876.26300000004
7,18,7,215636.49800000008
8,18,0,63482.49300000018
8,18,2,13.744
8,18,3,2421.9120000000034
8,18,4,550218.1309999976
8,18,5,37.115
8,18,9,73994.77599999998
9,18,1,700014.1720000008
9,18,2,19.787999999999993
9,18,4,3148.3840000000023
9,18,7,284944.82100000087
9,18,8,659440.1079999994
10,18,1,522127.4249999998
10,18,2,694782.3879999985
11,18,0,6509.633000000004
11,18,2,34374.0060000001
12,18,0,573538.6469999995
12,18,4,9267.804000000026
13,18,0,308869.97100000107
13,18,1,288935.8620000004
13,18,3,664173.2469999999
13,18,4,18.743000000000002
13,18,5,138969.7069999996
13,18,7,351514.57800000097
13,18,11,109798.39400000017
0,19,2,65159.37299999989
0,19,3,8.01
0,19,5,231277.7960000002
0,19,6,179998.02999999968
0,19,7,36757.52799999991
0,19,11,33911.54800000004
1,19,0,140139.26000000036
1,19,2,65768.64100000027
1,19,3,291694.48200000124
1,19,4,124163.52200000029
1,19,5,1089757.508000002
1,19,10,22675.66699999994
1,19,12,19748.86300000004
2,19,2,447191.95499999926
2,19,5,386001.31999999995
3,19,0,70406.35899999991
3,19,1,333825.1959999988
3,19,3,99400.64300000021
4,19,0,34763.026999999995
4,19,2,42090.110999999706
5,19,2,10163.783999999992
6,19,0,512471.5489999997
6,19,1,25.116000000000003
6,19,2,76575.59800000006
6,19,4,128734.01200000058
6,19,5,40613.70700000012
6,19,8,10.014000000000001
6,19,9,14121.95699999993
6,19,10,279226.5039999999
6,19,11,207072.89800000004
7,19,0,596626.212
7,19,6,30383.587000000043
7,19,7,202498.9940000004
8,19,0,59473.639000000076
8,19,2,9.667
8,19,3,8379.273000000005
8,19,4,516913.2319999992
8,19,5,25.155
8,19,9,72568.62400000007
9,19,1,655604.3620000005
9,19,2,13.854999999999999
9,19,4,11057.977999999935
9,19,7,283654.3170000011
9,19,8,656912.369
10,19,1,519717.19199999905
10,19,2,651388.0999999986
11,19,0,22606.1319999999
11,19,2,33684.22100000013
12,19,0,536509.8710000005
12,19,4,32312.254999999954
13,19,0,307598.9760000001
13,19,1,287353.9939999996
13,19,3,661438.9859999977
13,19,4,12.809999999999999
13,19,5,130371.07699999974
